Date,PX_LAST,Change %,Change
2021-04-25,1239.39,-0.0073,-9.139999999999873
2021-05-02,1241.81,0.002,2.4199999999998454
2021-05-09,1266.36,0.019799999999999998,24.549999999999955
2021-05-16,1283.93,0.0139,17.570000000000164
2021-05-23,1320.46,0.0285,36.52999999999997
2021-05-30,1374.05,0.0406,53.58999999999992
2021-06-06,1351.74,-0.016200000000000003,-22.309999999999945
2021-06-13,1377.77,0.019299999999999998,26.029999999999973
2021-06-20,1390.12,0.009000000000000001,12.349999999999907
2021-06-27,1420.27,0.0217,30.15000000000009
2021-07-04,1347.14,-0.051500000000000004,-73.12999999999988
2021-07-11,1299.31,-0.0355,-47.83000000000016
2021-07-18,1268.83,-0.0235,-30.480000000000015
2021-07-25,1310.05,0.0325,41.22000000000003
2021-08-01,1341.45,0.024,31.40000000000009
2021-08-08,1357.05,0.0116,15.599999999999907
2021-08-15,1329.43,-0.0204,-27.61999999999989
2021-08-22,1313.2,-0.012199999999999999,-16.230000000000018
2021-08-29,1334.65,0.0163,21.450000000000045
2021-09-05,1345.31,0.008,10.659999999999854
2021-09-12,1352.64,0.0054,7.330000000000155
2021-09-19,1351.17,-0.0011,-1.4700000000000273
2021-09-26,1334.89,-0.012,-16.279999999999973
2021-10-03,1372.73,0.028300000000000002,37.83999999999992
2021-10-10,1392.7,0.014499999999999999,19.970000000000027
2021-10-17,1389.24,-0.0025,-3.4600000000000364
2021-10-24,1444.27,0.039599999999999996,55.02999999999997
2021-10-31,1456.51,0.0085,12.240000000000007
2021-11-07,1473.37,0.0116,16.8599999999999
2021-11-14,1452.35,-0.0143,-21.019999999999985
2021-11-21,1493.03,0.027999999999999997,40.680000000000064
2021-11-28,1443.32,-0.0333,-49.71000000000004
2021-12-05,1463.54,0.013999999999999999,20.220000000000027
2021-12-12,1479.79,0.0111,16.25
2021-12-19,1477.03,-0.0019,-2.759999999999991
2021-12-26,1498.28,0.0144,21.25
2022-01-02,1528.48,0.0202,30.200000000000045
2022-01-09,1496.02,-0.0212,-32.46000000000004
2022-01-16,1472.89,-0.0155,-23.12999999999988
2022-01-23,1478.96,0.0040999999999999995,6.069999999999936
2022-01-30,1478.96,0.0,0.0
2022-02-06,1501.71,0.0154,22.75
2022-02-13,1504.84,0.0021,3.1299999999998818
2022-02-20,1498.89,-0.004,-5.949999999999818
2022-02-27,1505.33,0.0043,6.439999999999827
2022-03-06,1466.54,-0.0258,-38.78999999999997
2022-03-13,1469.1,0.0017000000000000001,2.559999999999945
2022-03-20,1498.5,0.02,29.40000000000009
