date,BCG,MSH,PVD,VND,KDC,BMC,ACB,HPG,MBB,ANV,MSN,TLG,VNG,FRT,JVC,HHV,DAH,BWE,MPC,DGC,DPM,GEG,RAL,TCB,NSC,GVR,PVS,VCB,FPT,VRE,BID,PVC,TPB,NVL,KBC,SLS,VHM,REE,HAH,HCM,NBB,VIB,VHC,LTG,CTG,GAS,PHR,PLX,VPB,VJC,CII,ITA,DPR,DMC,PXS,PC1,MWG,SBT,BCM,DVP,PNJ,POW,CLC,LAS,BVH,SSI,SCS,DBC,HDB,GEX,FCN,AAA,VIC,SKG,SAB,STB,VNM,BMP,DHG,DCM,KDH,EIB,SHB
2021-08-08,10280.0,39624.0,14068.0,19638.0,60720.0,12514.0,23844.0,36206.0,20844.0,25378.0,112242.0,33992.0,12530.0,21736.0,4148.0,14874.0,10726.0,36414.0,15630.0,40824.0,20920.0,13546.0,116822.0,51780.0,64206.0,31958.0,23046.0,64479.6,65898.0,27920.0,30166.0,6530.0,16832.0,81388.0,26242.0,101716.0,81814.0,39826.0,23166.0,35820.0,21796.0,24060.0,38858.0,27576.0,29734.0,73074.0,41810.0,49070.0,21474.0,116320.0,16280.0,6378.0,26026.0,42614.0,5716.0,16900.0,55882.0,16025.8,41148.0,41440.0,68544.0,10660.0,26904.0,14202.0,48064.0,33610.0,66842.0,24932.0,18442.0,20166.0,11418.0,14524.0,100142.0,10790.0,73998.0,30220.0,77208.0,45066.0,88844.0,18032.0,33762.0,19032.0,16689.8
2021-08-15,11814.0,41784.0,14664.0,20216.0,60012.0,13470.0,24010.0,37100.0,20970.0,27468.0,112922.0,37486.0,12770.0,23432.0,4222.0,16105.8,13460.0,35984.0,16602.0,41272.0,24986.0,14512.0,121844.0,52260.0,64815.6,32655.8,24142.0,65197.8,65906.0,28190.0,30186.0,6908.0,17428.0,79634.0,26612.0,108812.0,86572.0,41194.0,27632.0,37414.0,23164.0,23920.0,40566.0,28286.0,30084.0,73906.0,43984.0,50146.0,21762.0,118720.0,17328.0,6510.0,26208.0,43306.0,5930.0,18872.0,56490.0,16926.0,43956.0,46386.0,67988.0,11114.0,27116.0,15314.0,48968.0,34908.0,67744.0,26178.0,18616.0,21582.0,12422.0,15232.0,99396.0,11180.0,73020.0,30200.0,79678.0,45488.0,88412.0,19716.0,34134.0,18852.0,17348.0
2021-08-22,12378.0,43498.0,14696.0,21166.0,59328.0,14178.0,23490.0,37860.0,21810.0,29078.0,110772.0,40342.0,12700.0,24184.0,4810.0,17234.0,12680.0,35912.0,17584.0,43486.0,26902.0,15220.0,121704.0,52720.0,65085.4,35292.0,24164.0,66274.0,65150.0,27870.0,29762.0,6778.0,17592.0,79178.0,27616.0,120430.0,81960.0,43552.0,25954.0,40564.0,25352.0,23530.0,43920.0,28694.0,29910.0,71654.0,43826.0,48338.0,22722.0,118480.0,17788.0,6766.0,28044.0,46332.0,5784.0,20058.0,55538.0,18354.0,43714.0,45118.0,67062.0,11102.0,27650.0,15054.0,48914.0,36774.0,68912.0,27244.0,18756.0,21260.0,13050.0,15724.0,99362.0,11542.0,69774.0,29730.0,79410.0,44532.0,89106.0,20252.0,33942.0,18390.0,17382.0
2021-08-29,12162.0,43676.0,13464.0,20372.0,58504.0,15559.8,21444.0,36168.0,20048.0,26678.0,109092.0,37554.0,12380.0,22538.0,5150.0,16737.8,12870.0,36838.0,16531.8,45490.0,27008.0,14862.0,117998.0,48650.0,65365.6,33204.0,22204.0,63770.0,63550.0,26350.0,27452.0,6410.0,16389.4,79908.0,27706.0,124406.0,78852.0,44364.0,26764.0,39162.0,25812.0,20914.0,42352.0,27260.0,27944.0,67708.0,41384.0,46198.0,21536.0,124540.0,16762.0,6404.0,27766.0,46822.0,5544.0,19614.0,52756.0,17972.0,43160.0,43886.0,62444.0,10938.0,27896.0,15442.0,47542.0,36792.0,67760.0,26804.0,17716.0,20748.0,12710.0,15558.0,94820.0,11522.0,68972.0,27200.0,76972.0,42316.0,89880.0,20668.0,31688.0,17168.0,16451.8
2021-09-05,13473.333333333334,43930.0,14513.333333333334,20120.0,58733.333333333336,18553.333333333332,21413.333333333332,37136.666666666664,19840.0,28846.666666666668,110370.0,39046.666666666664,12483.333333333334,23866.666666666668,5403.333333333333,18383.333333333332,12350.0,38786.666666666664,17706.666666666668,48543.333333333336,27806.666666666668,15960.0,120040.0,48666.666666666664,65850.0,36546.666666666664,23550.0,65139.666666666664,64030.0,27466.666666666668,27483.333333333332,6863.333333333333,16456.666666666668,79666.66666666667,31313.333333333332,128583.33333333333,78680.0,48503.333333333336,28893.333333333332,39843.333333333336,27423.333333333332,20923.333333333332,47106.666666666664,28303.333333333332,27996.666666666668,69290.0,43403.333333333336,47146.666666666664,21730.0,126300.0,17663.333333333332,7046.666666666667,30676.666666666668,54516.666666666664,5726.666666666667,22076.666666666668,54426.666666666664,19226.666666666668,45140.0,45743.333333333336,61250.0,11886.666666666666,27853.333333333332,16630.0,50796.666666666664,36803.333333333336,68103.33333333333,28933.333333333332,17226.666666666668,21543.333333333332,13406.666666666666,17216.666666666668,94100.0,11880.0,70633.33333333333,27483.333333333332,77873.33333333333,42740.0,103296.66666666667,21690.0,32659.666666666668,17866.666666666668,16270.0
2021-09-12,14006.0,44726.0,14030.0,20808.0,58522.0,19646.0,21578.0,38842.0,20044.0,29628.0,107350.0,39630.0,13350.0,23562.0,5334.0,17652.0,11050.0,38910.0,17902.0,48198.0,26850.0,15684.0,124592.0,49200.0,67148.0,36986.0,23596.0,65317.8,64939.8,27570.0,27790.0,7340.0,17504.0,79404.0,32192.0,128522.0,79752.0,48096.0,31796.0,40252.0,27298.0,20980.0,47570.0,28242.0,28224.0,69540.0,45418.0,47490.0,22212.0,126740.0,18344.0,7164.0,31020.0,53542.0,5798.0,22072.0,56146.0,18982.0,47048.0,46020.0,63242.0,11910.0,28088.0,15990.0,49976.0,37288.0,67614.0,28404.0,17438.0,22900.0,13724.0,16199.8,92700.0,12622.0,71094.0,27460.0,77768.0,43168.0,96168.0,21422.0,33486.0,18036.0,15772.0
2021-09-19,13614.0,47180.0,14620.0,21286.0,58388.0,22650.0,21052.0,38720.0,19592.0,27524.0,116752.0,37958.0,13420.0,26114.0,5968.0,17338.0,10880.0,37834.0,17812.0,54594.0,26738.0,16314.0,135366.0,48940.0,68096.0,35998.0,25336.0,64086.0,65372.0,28790.0,27536.0,7770.0,18548.0,78688.0,31332.0,132984.0,78802.0,48078.0,33268.0,38224.0,26688.0,20508.0,49760.0,29046.0,27540.0,71026.0,44710.0,47696.0,22918.0,126140.0,17418.0,7090.0,31636.0,51306.0,6326.0,22828.0,61084.0,18138.0,46778.0,44770.0,65372.0,11550.0,28002.0,16900.0,48896.0,37294.0,68796.0,28772.0,16539.8,21700.0,13628.0,16100.0,90000.0,14754.0,77510.0,26740.0,78310.0,42886.0,95188.0,21552.0,34446.0,18052.0,15498.0
2021-09-26,13702.0,46354.0,16204.0,21158.0,57780.0,27976.0,21264.0,38570.0,19912.0,27108.0,119080.0,37672.0,13420.0,26008.0,7554.0,17684.0,9942.0,38190.0,17258.0,64507.8,26374.0,16218.0,139480.0,50480.0,67300.0,34836.0,25386.0,65037.8,64759.6,28710.0,27852.0,8062.0,19504.0,78644.0,32280.0,142698.0,76622.0,48890.0,31102.0,39080.0,26754.0,22284.0,47588.0,29030.0,27604.0,69988.0,43078.0,47114.0,23666.0,123940.0,17124.0,7862.0,30482.0,51344.0,6582.0,22664.0,62493.6,18656.0,44358.0,44042.0,65373.8,11520.0,28542.0,16626.0,51496.0,36580.0,67368.0,29416.0,16846.0,21394.0,13418.0,16330.0,86500.0,14666.0,75328.0,26790.0,81436.0,42742.0,95960.0,21148.0,34700.0,17398.0,15946.0
2021-10-03,13230.0,46914.0,16914.0,20116.0,57070.0,26218.0,21050.0,39810.0,19664.0,25934.0,114736.0,37004.0,13160.0,26306.0,6620.0,16736.0,8736.0,37822.0,17054.0,62626.0,26500.0,16134.0,139176.0,49460.0,68840.0,33786.0,26476.0,64083.6,64392.0,28470.0,27762.0,8248.0,19788.0,78014.0,32342.0,139884.0,75826.0,47544.0,29388.0,37760.0,26704.0,20620.0,48136.0,27696.0,26642.0,75534.0,42654.0,48398.0,23272.0,128640.0,17280.0,7222.0,31040.0,51800.0,6858.0,23346.0,62442.0,17784.0,43170.0,43868.0,67737.8,11814.0,29048.0,16372.0,52272.0,34868.0,66174.0,27138.0,16714.0,20736.0,13252.0,15650.0,87000.0,14384.0,74468.0,25850.0,80822.0,41966.0,93294.0,21578.0,34290.0,16610.0,15726.0
2021-10-10,14520.0,48884.0,17940.0,20036.0,56542.0,25378.0,20918.0,42110.0,19414.0,28302.0,117580.0,38336.0,13450.0,27282.0,6732.0,16852.0,9204.0,39752.0,17550.0,62880.0,28566.0,17684.0,145248.0,49690.0,70832.0,35458.0,27028.0,62880.0,66103.6,28910.0,27522.0,9218.0,20236.0,79388.0,33414.0,141924.0,77304.0,52042.0,30686.0,35598.0,29001.8,19756.0,52254.0,29300.0,25560.0,86106.0,43790.0,50804.0,22310.0,129940.0,18356.0,7504.0,32351.8,53052.0,7212.0,24648.0,62796.0,17880.0,43372.0,45070.0,69936.0,12670.0,29100.0,17066.0,54798.0,34856.0,65552.0,28000.0,16010.0,21216.0,14566.0,16110.0,88620.0,15388.0,75580.0,25350.0,80896.0,41504.0,93654.0,24760.0,34800.0,15714.0,17146.0
2021-10-17,15494.0,48840.0,18614.0,20538.0,56774.0,23732.0,21694.0,43156.0,20224.0,28460.0,118722.0,39078.0,13660.0,27104.0,6570.0,16886.0,8986.0,40660.0,17442.0,65684.0,30279.8,17916.0,144254.0,52700.0,69418.0,36070.0,27334.0,63548.0,68704.0,30570.0,27978.0,9118.0,20532.0,78458.0,34158.0,142872.0,77632.0,53322.0,33730.0,36408.0,30408.0,20900.0,54220.0,30708.0,26862.0,87498.0,44402.0,51130.0,23486.0,133000.0,18786.0,7708.0,32666.0,54758.0,7160.0,24798.0,65090.0,18554.0,44086.0,45636.0,71946.0,12480.0,29008.0,17616.0,54818.0,35824.0,65702.0,27106.0,16964.0,21738.0,15106.0,16320.0,92600.0,17646.0,76966.0,26520.0,81432.0,42026.0,92728.0,26580.0,36098.0,16455.6,17530.0
2021-10-24,16723.6,49396.0,19918.0,21062.0,56602.0,23466.0,21376.0,43274.0,19876.0,29260.0,116854.0,38494.0,13770.0,26966.0,6854.0,16536.0,9102.0,40756.0,17310.0,65443.8,33936.0,18342.0,138266.0,52800.0,68772.0,36020.0,27464.0,62368.0,67702.0,30660.0,27798.0,8884.0,20998.0,78150.0,32530.0,137388.0,76370.0,55188.0,33646.0,36450.0,30696.0,21160.0,55618.0,31346.0,26188.0,89218.0,46496.0,50806.0,24140.0,133180.0,18876.0,7946.0,33298.0,54054.0,7158.0,24990.0,63396.0,17888.0,43736.0,46622.0,70310.0,12220.0,29262.0,18018.0,54490.0,34936.0,65586.0,26952.0,16546.0,21644.0,15116.0,16059.6,92020.0,19060.0,74344.0,26340.0,81290.0,42696.0,92280.0,28248.0,36960.0,16511.6,16568.0
2021-10-31,18224.0,49332.0,21152.0,21356.0,56582.0,23074.0,21194.0,43048.0,19928.0,31230.0,120490.0,38172.0,13890.0,28686.0,7146.0,16918.0,9262.0,41228.0,18456.0,64555.8,35616.0,18538.0,136266.0,51360.0,68700.0,38004.0,28226.0,62943.8,67256.0,30880.0,28042.0,9112.0,20818.0,80626.0,35028.0,133858.0,78642.0,55694.0,33107.8,35810.0,31626.0,21272.0,59058.0,31758.0,26854.0,93482.0,49634.0,51452.0,23972.0,132760.0,21292.0,8298.0,34302.0,53264.0,7422.0,26056.0,64149.6,18290.0,48866.0,48320.0,72008.0,12480.0,29932.0,21108.0,58500.0,34558.0,65392.0,28764.0,16524.0,23358.0,15994.0,16709.8,94020.0,19078.0,75764.0,26200.0,81600.0,45756.0,94120.0,27854.0,39858.0,16375.8,16279.8
2021-11-07,19362.0,49588.0,21418.0,24474.0,58462.0,24760.0,22280.0,42338.0,20286.0,32744.0,120952.0,38042.0,13800.0,31386.0,7226.0,17582.0,9914.0,42080.0,20008.0,65245.8,36546.0,17872.0,130576.0,52640.0,68822.0,38426.0,27732.0,64174.0,66800.0,31290.0,30112.0,9622.0,20970.0,81206.0,36938.0,131940.0,81014.0,52820.0,32221.8,38670.0,46092.0,21826.0,60174.0,31622.0,28464.0,94322.0,52814.0,50484.0,24074.0,130280.0,22692.0,8736.0,37004.0,52804.0,8028.0,26954.0,63931.8,19290.0,51626.0,47524.0,74532.0,12840.0,32150.0,21234.0,57762.0,36740.0,67532.0,28884.0,17404.0,26862.0,15948.0,17070.0,95380.0,19174.0,80182.0,27250.0,80440.0,48574.0,95754.0,29008.0,40044.0,17652.0,17612.0
2021-11-14,20454.0,50716.0,23538.0,27440.0,57878.0,24342.0,22266.0,41958.0,20120.0,34826.0,122898.0,39570.0,13660.0,31708.0,7573.8,19068.0,10144.0,42826.0,20808.0,65613.8,39768.0,18928.0,130653.0,52120.0,68800.0,39360.0,28394.0,64165.6,67246.0,30510.0,30326.0,9996.0,20878.0,79864.0,38568.0,138312.0,79966.0,52836.0,33430.0,41722.0,43320.0,21894.0,63158.0,32821.8,28462.0,93900.0,57726.0,54162.0,23452.0,129939.8,26066.0,9838.0,37114.0,53798.0,8219.8,28264.0,65357.8,21622.0,53430.0,49364.0,75788.0,12980.0,32466.0,21966.0,58380.0,38634.0,70764.0,32268.0,18268.0,33432.0,16708.0,17760.0,94800.0,19314.0,82282.0,28040.0,81200.0,49428.0,95170.0,32254.0,40338.0,18546.0,17636.0
2021-11-21,20394.0,53016.0,23372.0,29150.0,57444.0,26670.0,22158.0,38590.0,20148.0,32916.0,124202.0,39388.0,14510.0,34102.0,8446.0,19598.0,10680.0,42694.0,21120.0,67691.8,37882.0,19014.0,129006.0,52000.0,68124.0,37774.0,26952.0,63849.8,67372.0,30460.0,30634.0,10172.0,20848.0,78596.0,39226.0,135626.0,80414.0,51984.0,34694.0,43820.0,45460.0,22116.0,59644.0,31575.8,28322.0,89690.0,60418.0,56820.0,22880.0,127420.0,29138.0,11640.0,37686.0,51006.0,9144.0,28554.0,68218.0,21832.0,55724.0,50126.0,76110.0,14130.0,32772.0,21872.0,58012.0,40670.0,71376.0,32124.0,18876.0,41640.0,17630.0,18040.0,95080.0,18104.0,80450.0,27910.0,79626.0,47180.0,95416.0,32554.0,39564.0,19646.0,17292.0
2021-11-28,20426.0,53620.0,20598.0,31542.0,59290.0,23544.0,23148.0,37106.0,21232.0,32794.0,128579.6,41134.0,14070.0,33404.0,8444.0,18904.0,10360.0,44930.0,20406.0,68878.0,36736.0,17638.0,126842.0,54020.0,68008.0,35412.0,24424.0,67493.6,67748.0,30480.0,31900.0,9330.0,23116.0,81588.0,36146.0,134542.0,80530.0,49018.0,32366.0,44688.0,42140.0,25172.0,59588.0,28396.0,30302.0,80732.0,57930.0,53676.0,23824.0,130740.0,26860.0,11540.0,36256.0,49060.0,8882.0,26562.0,70080.0,20902.0,52788.0,48572.0,74302.0,13570.0,32421.6,20996.0,56898.0,45602.0,71898.0,34656.0,21310.0,41194.0,17100.0,16940.0,95240.0,16410.0,78812.0,29850.0,78782.0,47194.0,93370.0,31564.0,37760.0,20146.0,18094.0
